car_id,brand,model,year,fuel_type,transmission,body_type,color,engine_cc,mileage_kmpl,kms_driven,owners,seats,seller_type,condition,city,price
16,Kia,Carens,2022,Petrol,Automatic,Convertible,Orange,1999,23.2,49780,1,5,Certified Pre-Owned,Good,Bangalore,637000
17,Mahindra,Scorpio,2015,Diesel,Automatic,Coupe,Black,2000,25.5,48712,1,5,Dealer,Poor,Delhi,394000
18,Ford,Aspire,2024,Diesel,Automatic,MUV,Yellow,1199,14.8,53545,2,8,Certified Pre-Owned,Good,Chennai,836000
19,Toyota,Vellfire,2020,Electric,CVT,Hatchback,Green,1197,26.8,19204,1,7,Certified Pre-Owned,Poor,Delhi,2292000
20,Honda,CR-V,2019,Petrol,AMT,Convertible,Blue,2755,21.9,2050,2,7,Certified Pre-Owned,Poor,Jaipur,807000
21,Tata,Altroz,2016,Electric,Automatic,Sedan,Blue,1598,18.8,53371,2,7,Individual,Good,Pune,819000
22,Maruti,Baleno,2021,CNG,Manual,SUV,Black,1598,10.2,115824,2,2,Certified Pre-Owned,Poor,Bangalore,212000
23,Tata,Sierra,2015,CNG,Automatic,Sedan,Brown,2000,14.5,10458,3,7,Dealer,Excellent,Pune,197000
24,Renault,Megane,2024,Diesel,CVT,Sedan,Black,2393,26.8,47018,2,8,Dealer,Fair,Mumbai,863000
25,Honda,Elevate,2017,CNG,Manual,Hatchback,Green,1199,10.4,91660,1,7,Dealer,Excellent,Ahmedabad,408000
26,Mahindra,XUV300,2016,Hybrid,Manual,Convertible,Orange,2755,27.5,86808,3,5,Individual,Good,Jaipur,353000
27,Toyota,Innova,2016,Diesel,Manual,SUV,Brown,1248,10.8,100976,3,7,Certified Pre-Owned,Poor,Delhi,605000
28,Renault,Fluence,2018,Petrol,Manual,Convertible,Grey,1398,17.2,78727,1,2,Certified Pre-Owned,Excellent,Delhi,357000
29,Tata,Tiago,2021,Diesel,Manual,Convertible,Black,1248,13.8,143638,3,7,Certified Pre-Owned,Good,Kolkata,1014000
30,Ford,Bronco,2022,Petrol,Automatic,Coupe,Green,1000,24.7,74392,1,8,Certified Pre-Owned,Excellent,Delhi,2008000
31,Toyota,Urban Cruiser,2018,Petrol,Manual,MUV,Yellow,1498,17.2,50970,2,2,Dealer,Good,Lucknow,644000
32,Maruti,Baleno,2021,Petrol,AMT,Convertible,Orange,2000,19.6,31813,1,4,Individual,Excellent,Hyderabad,680000
33,Mahindra,Alturas,2024,CNG,CVT,MUV,Orange,2694,21.5,117983,1,7,Individual,Fair,Ahmedabad,1501000
34,Renault,Logan,2018,Petrol,Manual,SUV,Red,1461,22.5,21122,1,7,Individual,Excellent,Jaipur,575000
35,Hyundai,i10,2021,Petrol,Automatic,Hatchback,Red,1498,10.1,5120,3,2,Individual,Good,Lucknow,847000
36,Kia,Telluride,2023,Diesel,Automatic,Coupe,Red,2000,22.2,127308,1,8,Individual,Excellent,Kolkata,1097000
37,Tata,Curvv,2017,Hybrid,Automatic,MUV,Yellow,1197,10.9,112358,1,4,Certified Pre-Owned,Good,Delhi,532000
38,Honda,Accord,2020,Petrol,CVT,SUV,Brown,1398,14.0,5081,2,5,Individual,Fair,Ahmedabad,460000
39,Maruti,Swift,2018,Petrol,Manual,Sedan,Red,2179,14.6,147841,3,4,Dealer,Good,Delhi,292000
40,Ford,Puma,2016,CNG,Manual,SUV,Silver,1000,20.7,98384,1,7,Certified Pre-Owned,Excellent,Chennai,994000
41,Honda,Amaze,2019,Electric,Automatic,Hatchback,Yellow,800,25.3,97142,1,8,Dealer,Excellent,Kolkata,1137000
42,Hyundai,i10,2020,Diesel,AMT,Convertible,Black,1498,17.8,70800,2,4,Individual,Excellent,Jaipur,1350000
43,Toyota,Yaris,2018,CNG,Manual,MUV,Red,1197,18.8,88184,1,8,Individual,Good,Kolkata,942000
44,Toyota,Yaris,2019,Electric,Automatic,SUV,Orange,1498,20.0,22442,1,2,Dealer,Good,Hyderabad,1147000
45,Volkswagen,Touareg,2022,CNG,Manual,Sedan,Brown,1461,27.9,96736,1,8,Certified Pre-Owned,Excellent,Lucknow,1336000
46,Mahindra,Alturas,2019,Petrol,Manual,Convertible,Red,1248,23.0,48535,1,4,Individual,Excellent,Jaipur,1595000
47,Renault,Koleos,2019,Hybrid,AMT,SUV,Red,800,20.0,140020,1,5,Individual,Excellent,Mumbai,618000
48,Tata,Curvv,2016,Electric,Automatic,MUV,Green,1000,24.8,66185,3,4,Individual,Excellent,Mumbai,464000
49,Hyundai,Ioniq 5,2015,Petrol,AMT,SUV,Silver,1498,26.4,59162,2,2,Dealer,Excellent,Kolkata,392000
50,Ford,Explorer,2019,Diesel,Manual,Convertible,Silver,1598,11.4,21282,1,5,Dealer,Good,Chennai,405000
51,Volkswagen,Golf,2022,Petrol,Manual,Convertible,Blue,1461,12.1,61190,3,7,Certified Pre-Owned,Fair,Delhi,778000
52,Tata,Altroz,2017,Petrol,Manual,SUV,Yellow,2179,17.2,115121,1,7,Certified Pre-Owned,Fair,Chennai,369000
53,Renault,Logan,2022,Petrol,Manual,MUV,Grey,2393,22.1,60011,4,5,Certified Pre-Owned,Excellent,Delhi,392000
54,Maruti,Dzire,2022,Diesel,Manual,SUV,Black,1398,15.8,23918,1,2,Certified Pre-Owned,Good,Ahmedabad,426000
55,Tata,Punch,2021,Diesel,Manual,MUV,Orange,2694,19.3,66164,1,2,Dealer,Good,Pune,1535000
56,Renault,Logan,2021,Petrol,Automatic,Coupe,Green,2755,15.2,53361,1,5,Certified Pre-Owned,Good,Mumbai,826000
57,Volkswagen,Vento,2015,Hybrid,Automatic,Sedan,Black,1498,27.0,106952,1,5,Individual,Good,Jaipur,704000
58,Tata,Curvv,2019,Diesel,Manual,MUV,Green,2694,11.3,100554,1,5,Dealer,Good,Bangalore,1018000
59,Kia,Sportage,2023,Petrol,Manual,Convertible,Blue,1398,16.0,38953,1,4,Certified Pre-Owned,Good,Ahmedabad,1512000
60,Kia,Stinger,2020,Electric,DCT,Sedan,Yellow,2179,26.4,11441,1,4,Individual,Excellent,Kolkata,1028000
61,Tata,Curvv,2015,Petrol,DCT,SUV,Silver,2694,21.8,4023,2,2,Individual,Excellent,Ahmedabad,260000
62,Volkswagen,Tiguan,2020,Diesel,Manual,Hatchback,Grey,2694,19.7,83010,2,4,Certified Pre-Owned,Fair,Kolkata,1084000
63,Honda,Elevate,2018,Diesel,Manual,Hatchback,Silver,1248,16.5,7588,1,5,Individual,Excellent,Chennai,745000
64,Honda,BR-V,2021,Diesel,AMT,Sedan,Black,1199,18.3,63132,1,5,Dealer,Good,Kolkata,761000
65,Toyota,Innova,2022,Electric,Automatic,Sedan,Silver,2179,14.5,78421,2,2,Individual,Poor,Lucknow,2292000
66,Honda,HR-V,2022,Petrol,Manual,SUV,Yellow,1248,10.1,5751,4,2,Individual,Poor,Chennai,826000
67,Maruti,Ignis,2022,CNG,CVT,Sedan,Yellow,2000,11.7,65700,2,5,Individual,Excellent,Hyderabad,644000
68,Maruti,Wagon R,2022,Petrol,Manual,Sedan,Silver,1598,19.0,46042,1,8,Individual,Excellent,Kolkata,532000
69,Tata,Altroz,2022,Hybrid,Manual,SUV,Silver,2694,24.5,59143,3,2,Individual,Poor,Bangalore,619000
70,Kia,Seltos,2019,Diesel,Automatic,Convertible,Blue,800,21.2,28402,2,4,Certified Pre-Owned,Good,Pune,1175000
71,Mahindra,XEV 9e,2018,Diesel,Automatic,MUV,Blue,1498,12.1,11887,3,7,Certified Pre-Owned,Good,Bangalore,535000
72,Renault,Kiger,2021,Diesel,Automatic,Convertible,Orange,1999,17.3,108759,2,4,Individual,Good,Bangalore,790000
73,Maruti,Brezza,2018,Petrol,DCT,SUV,Silver,1000,27.1,15872,1,7,Certified Pre-Owned,Good,Pune,605000
74,Hyundai,Tucson,2024,Hybrid,Manual,SUV,Red,1999,13.9,17985,2,7,Dealer,Fair,Hyderabad,2015000
75,Mahindra,Thar,2024,Petrol,AMT,Sedan,Black,1197,10.3,28816,2,5,Certified Pre-Owned,Excellent,Bangalore,1971000
76,Honda,Mobilio,2020,Petrol,Manual,Sedan,Brown,1598,20.7,124845,1,8,Certified Pre-Owned,Excellent,Delhi,792000
77,Honda,Mobilio,2015,Diesel,CVT,Convertible,Orange,1461,22.3,15945,4,2,Individual,Good,Mumbai,355000
78,Volkswagen,Vento,2016,Petrol,Manual,Sedan,Blue,1498,19.1,85245,1,7,Certified Pre-Owned,Good,Jaipur,639000
79,Hyundai,Exter,2018,Petrol,CVT,MUV,Grey,1398,27.2,81932,1,7,Individual,Good,Delhi,1014000
80,Volkswagen,Vento,2016,CNG,Manual,Hatchback,Grey,1461,16.4,147216,2,5,Dealer,Good,Lucknow,624000
81,Kia,Seltos,2019,Diesel,Manual,Coupe,Orange,2694,20.0,58784,3,8,Dealer,Excellent,Ahmedabad,487000
82,Toyota,Land Cruiser,2018,CNG,AMT,Coupe,Yellow,2179,23.7,70109,1,7,Certified Pre-Owned,Good,Mumbai,1860000
83,Mahindra,Scorpio,2017,Electric,Automatic,MUV,Silver,1461,17.6,24053,2,7,Dealer,Good,Mumbai,657000
84,Mahindra,XUV300,2020,CNG,Automatic,Hatchback,White,1498,21.9,13044,2,7,Dealer,Excellent,Lucknow,962000
85,Volkswagen,Passat,2019,Petrol,Automatic,SUV,Brown,800,14.0,127567,1,7,Dealer,Excellent,Lucknow,1474000
86,Maruti,Swift,2018,Petrol,Manual,Sedan,Blue,1197,16.8,130386,2,5,Individual,Excellent,Mumbai,469000
87,Renault,Fluence,2020,Petrol,AMT,Hatchback,Brown,2179,21.5,82066,2,2,Dealer,Good,Delhi,384000
88,Kia,Seltos,2020,Petrol,CVT,MUV,Grey,1598,11.4,63783,1,2,Dealer,Good,Delhi,1235000
89,Mahindra,Bolero,2020,CNG,Manual,Convertible,Silver,1199,11.9,92038,2,5,Certified Pre-Owned,Good,Pune,601000
90,Tata,Avinya,2017,CNG,Automatic,Sedan,Green,2694,27.5,117677,2,8,Individual,Fair,Lucknow,334000
91,Volkswagen,Vento,2022,Petrol,Manual,SUV,Yellow,800,16.6,81371,1,5,Dealer,Good,Delhi,1074000
92,Hyundai,Ioniq 5,2024,Diesel,Automatic,Coupe,White,1598,12.7,49345,1,4,Individual,Fair,Lucknow,645000
93,Hyundai,Aura,2016,Diesel,Manual,Sedan,Green,1461,17.4,41614,1,7,Individual,Good,Lucknow,550000
94,Ford,EcoSport,2020,Petrol,Manual,Convertible,Brown,2755,16.3,39419,1,5,Individual,Excellent,Lucknow,2122000
95,Kia,Carnival,2024,Diesel,Manual,Coupe,Brown,1598,16.5,137990,1,2,Certified Pre-Owned,Fair,Bangalore,954000
96,Tata,Tiago,2020,Hybrid,Automatic,Sedan,Black,2000,16.1,133087,2,5,Dealer,Excellent,Delhi,1094000
97,Tata,Avinya,2021,Petrol,Manual,Convertible,Yellow,1498,21.0,107704,1,7,Dealer,Good,Mumbai,1148000
98,Volkswagen,Virtus,2023,Petrol,DCT,MUV,Red,2393,16.9,115499,1,7,Individual,Good,Lucknow,1435000
99,Tata,Tiago,2024,Petrol,Manual,Convertible,Green,1000,23.7,135242,3,7,Individual,Good,Delhi,668000
100,Renault,Kiger,2021,Petrol,CVT,MUV,Grey,1000,16.7,131598,1,2,Dealer,Good,Kolkata,290000
101,Hyundai,Aura,2017,Petrol,Manual,MUV,Black,1248,13.9,1376,3,5,Certified Pre-Owned,Good,Lucknow,383000
102,Ford,Escape,2021,Petrol,Manual,SUV,Silver,1999,19.6,119829,1,4,Dealer,Excellent,Lucknow,1545000
103,Ford,Aspire,2017,Petrol,Manual,SUV,Red,1598,19.8,137228,4,5,Certified Pre-Owned,Good,Delhi,821000
104,Renault,Fluence,2015,Petrol,Automatic,Convertible,Brown,1199,23.2,93610,2,8,Individual,Excellent,Mumbai,292000
105,Ford,Bronco,2017,Petrol,Automatic,Convertible,Black,2179,24.0,47783,2,5,Certified Pre-Owned,Good,Ahmedabad,759000
106,Toyota,Urban Cruiser,2015,CNG,CVT,SUV,Blue,1248,16.4,124098,1,7,Certified Pre-Owned,Good,Jaipur,984000
107,Mahindra,XUV300,2016,CNG,Manual,MUV,Green,2755,24.4,130076,2,8,Individual,Excellent,Bangalore,376000
108,Hyundai,i10,2016,Petrol,DCT,Sedan,Orange,1498,20.8,85962,2,7,Individual,Excellent,Delhi,548000
109,Volkswagen,T-Roc,2022,Petrol,CVT,SUV,Yellow,1398,19.2,19671,2,2,Individual,Excellent,Mumbai,1710000
110,Tata,Nexon,2017,CNG,Automatic,MUV,White,1999,12.8,94935,1,5,Dealer,Excellent,Pune,524000
111,Mahindra,KUV100,2022,CNG,Automatic,Coupe,Grey,2179,13.3,65434,4,5,Individual,Excellent,Chennai,922000
112,Renault,Triber,2019,CNG,Automatic,Sedan,Yellow,1498,13.1,52475,1,5,Individual,Good,Ahmedabad,550000
113,Hyundai,Aura,2020,Diesel,Automatic,SUV,Blue,1199,24.3,94763,1,5,Dealer,Good,Bangalore,718000
114,Volkswagen,Polo,2020,Diesel,Manual,Coupe,Black,1598,17.4,81078,1,4,Certified Pre-Owned,Fair,Delhi,972000
115,Ford,Endeavour,2017,Hybrid,Automatic,MUV,Green,2393,27.4,144520,2,5,Certified Pre-Owned,Good,Bangalore,723000
116,Maruti,Baleno,2023,Petrol,Manual,SUV,Red,1199,21.4,74461,3,7,Individual,Poor,Jaipur,480000
117,Tata,Altroz,2024,Diesel,Automatic,Sedan,Yellow,2694,25.5,88504,3,5,Certified Pre-Owned,Excellent,Lucknow,531000
118,Ford,Mustang,2018,CNG,Manual,Convertible,White,1498,14.4,75935,2,7,Individual,Fair,Jaipur,1036000
119,Kia,Carens,2022,Petrol,Manual,MUV,Brown,2179,27.8,37661,1,8,Individual,Good,Pune,951000
120,Kia,Carnival,2020,Diesel,Manual,Sedan,Green,1461,25.6,36930,1,7,Dealer,Excellent,Hyderabad,951000
121,Tata,Punch,2024,Diesel,Manual,Sedan,Green,1598,18.2,130382,1,2,Certified Pre-Owned,Good,Chennai,786000
122,Ford,Bronco,2015,Petrol,Automatic,Convertible,Green,2179,16.6,112965,1,7,Individual,Good,Delhi,515000
123,Maruti,Ertiga,2015,Diesel,Manual,Coupe,Blue,1197,27.6,144141,1,5,Dealer,Good,Ahmedabad,238000
124,Mahindra,BE 6e,2020,CNG,Manual,Coupe,Brown,1598,18.2,35923,2,4,Certified Pre-Owned,Excellent,Mumbai,1081000
125,Renault,Kiger,2020,Hybrid,Manual,MUV,Yellow,2179,20.1,88178,1,4,Certified Pre-Owned,Fair,Lucknow,507000
126,Maruti,Brezza,2020,Diesel,DCT,Coupe,Blue,2179,10.9,124410,1,7,Certified Pre-Owned,Fair,Mumbai,467000
127,Renault,Koleos,2021,Petrol,Automatic,Hatchback,Yellow,1461,22.4,115615,1,5,Certified Pre-Owned,Excellent,Mumbai,534000
128,Ford,Edge,2015,Diesel,Automatic,Coupe,Grey,2755,19.6,82248,4,4,Certified Pre-Owned,Good,Kolkata,511000
129,Toyota,Land Cruiser,2022,Petrol,Manual,Coupe,Blue,1398,18.6,75760,2,4,Dealer,Poor,Chennai,1479000
130,Toyota,Camry,2016,Diesel,Automatic,MUV,Grey,2000,14.6,20717,1,4,Dealer,Excellent,Chennai,1108000
131,Honda,BR-V,2019,Hybrid,Automatic,Sedan,Silver,2000,14.2,63558,1,7,Certified Pre-Owned,Good,Hyderabad,542000
132,Mahindra,Alturas,2016,Diesel,Manual,Coupe,Black,1398,15.1,125160,2,7,Individual,Good,Ahmedabad,265000
133,Hyundai,Ioniq 5,2018,Diesel,Automatic,Hatchback,Black,2393,18.9,9526,4,2,Individual,Fair,Bangalore,969000
134,Toyota,Innova,2015,Petrol,Automatic,SUV,Blue,2694,19.1,137446,1,5,Individual,Poor,Jaipur,416000
135,Hyundai,Aura,2017,Diesel,Automatic,Convertible,Black,1197,21.0,148840,2,7,Dealer,Good,Chennai,760000
136,Kia,Telluride,2023,Petrol,Manual,Hatchback,Black,1498,23.6,1790,1,7,Dealer,Good,Hyderabad,1801000
137,Toyota,Land Cruiser,2024,Petrol,Automatic,Convertible,Red,2179,12.1,80427,1,7,Dealer,Good,Ahmedabad,3431000
138,Toyota,Yaris,2024,Petrol,DCT,MUV,Black,2393,19.7,97943,1,4,Individual,Good,Lucknow,2639000
139,Honda,WR-V,2024,Electric,Manual,MUV,Orange,1999,19.7,29414,1,7,Certified Pre-Owned,Good,Lucknow,983000
140,Renault,Logan,2016,Diesel,Automatic,MUV,Silver,1498,20.2,118864,1,2,Certified Pre-Owned,Good,Mumbai,345000
141,Toyota,Innova,2021,Petrol,Manual,Sedan,Yellow,2755,26.1,16714,1,5,Dealer,Excellent,Pune,3226000
142,Volkswagen,Polo,2019,Petrol,AMT,Convertible,Brown,1461,11.4,117581,3,2,Individual,Poor,Kolkata,929000
143,Renault,Kiger,2020,Petrol,DCT,MUV,Orange,1498,22.1,910,2,7,Dealer,Good,Hyderabad,553000
144,Renault,Megane,2018,Petrol,Manual,SUV,Red,1199,13.7,109901,2,5,Certified Pre-Owned,Fair,Mumbai,205000
145,Maruti,Ciaz,2024,Diesel,CVT,Sedan,White,1197,19.1,56955,2,5,Individual,Good,Jaipur,575000
146,Ford,Bronco,2024,Diesel,Automatic,SUV,Red,800,20.0,57945,1,7,Individual,Fair,Jaipur,1798000
147,Tata,Tigor,2023,Diesel,DCT,Convertible,Brown,1197,23.6,107022,1,2,Certified Pre-Owned,Excellent,Kolkata,1108000
148,Honda,Elevate,2017,CNG,CVT,Coupe,Brown,1398,21.6,101821,1,7,Individual,Good,Bangalore,723000
149,Mahindra,XUV700,2023,Diesel,Manual,SUV,Brown,1498,13.8,19079,1,7,Certified Pre-Owned,Good,Mumbai,2225000
150,Toyota,Innova,2018,Hybrid,DCT,Hatchback,Green,2393,15.1,103974,3,8,Dealer,Good,Hyderabad,1114000
151,Mahindra,XUV300,2019,Petrol,CVT,MUV,Silver,800,20.1,53248,1,2,Certified Pre-Owned,Good,Pune,628000
152,Tata,Nexon,2019,Diesel,Automatic,Convertible,Brown,1498,19.9,60298,1,7,Individual,Excellent,Pune,1290000
153,Mahindra,XUV300,2022,Hybrid,Automatic,MUV,Green,1197,26.5,44371,1,4,Dealer,Good,Pune,1474000
154,Maruti,S-Cross,2015,CNG,Manual,Convertible,White,1199,19.1,17817,2,5,Dealer,Good,Hyderabad,215000
155,Ford,Puma,2022,Diesel,Manual,Coupe,Orange,800,19.0,72021,1,7,Individual,Excellent,Jaipur,2002000
156,Kia,Carnival,2016,Electric,Automatic,Sedan,Red,1398,27.3,70077,2,5,Certified Pre-Owned,Good,Pune,561000
157,Honda,WR-V,2019,Diesel,AMT,Convertible,White,2179,13.1,144887,1,5,Dealer,Good,Kolkata,729000
158,Kia,Sportage,2024,Hybrid,DCT,Coupe,White,2000,26.7,124649,1,5,Dealer,Excellent,Lucknow,1890000
159,Ford,EcoSport,2017,Electric,Manual,Sedan,Yellow,1999,25.0,20168,1,7,Dealer,Fair,Kolkata,793000
160,Renault,Zoe,2021,CNG,Manual,Convertible,Silver,2694,11.4,14076,1,7,Certified Pre-Owned,Good,Pune,634000
161,Ford,Puma,2021,Hybrid,Manual,Convertible,Blue,1197,22.2,144975,3,2,Individual,Good,Pune,1380000
162,Hyundai,Ioniq 5,2019,CNG,Automatic,Hatchback,Blue,1000,10.1,102137,1,5,Dealer,Good,Bangalore,637000
163,Mahindra,XUV300,2016,Petrol,Manual,MUV,Orange,1999,20.8,6884,1,5,Certified Pre-Owned,Good,Delhi,532000
164,Kia,Seltos,2019,Petrol,AMT,Convertible,Orange,1248,14.8,99806,1,7,Dealer,Good,Bangalore,521000
165,Tata,Tigor,2019,Petrol,Automatic,Hatchback,Grey,1248,10.1,51261,1,5,Individual,Poor,Ahmedabad,526000
166,Ford,Explorer,2020,Petrol,Manual,Convertible,Yellow,1461,27.4,52652,1,5,Dealer,Excellent,Lucknow,931000
167,Volkswagen,Golf,2018,Petrol,Manual,MUV,Grey,2179,18.3,143033,1,5,Dealer,Poor,Hyderabad,788000
168,Volkswagen,Tiguan,2016,CNG,AMT,MUV,Green,2393,16.8,66238,2,2,Dealer,Good,Hyderabad,563000
169,Ford,Edge,2024,Petrol,Automatic,Convertible,Brown,1000,23.8,140746,2,5,Certified Pre-Owned,Excellent,Pune,1808000
170,Mahindra,Thar,2024,Petrol,DCT,Convertible,Brown,1199,19.2,27772,1,7,Individual,Poor,Kolkata,1203000
171,Ford,Puma,2018,Petrol,Manual,Convertible,Yellow,1461,26.6,6438,1,7,Certified Pre-Owned,Good,Pune,465000
172,Tata,Punch,2019,Petrol,AMT,Coupe,Green,800,24.6,118606,1,7,Individual,Good,Ahmedabad,385000
173,Mahindra,XUV700,2017,Electric,Automatic,Coupe,Black,2393,17.3,111770,4,7,Certified Pre-Owned,Excellent,Jaipur,390000
174,Kia,Telluride,2015,Diesel,CVT,MUV,Yellow,1999,11.8,53945,1,5,Individual,Good,Hyderabad,674000
175,Tata,Punch,2020,Petrol,Manual,Convertible,Green,1398,16.3,101879,2,5,Certified Pre-Owned,Poor,Pune,551000
176,Tata,Altroz,2024,Diesel,Automatic,SUV,Silver,1461,20.7,97859,2,2,Dealer,Excellent,Bangalore,1246000
177,Kia,Carnival,2022,Diesel,Automatic,Convertible,Black,1999,11.0,36777,1,4,Certified Pre-Owned,Excellent,Chennai,1066000
178,Maruti,Ciaz,2017,Petrol,Manual,Coupe,Orange,1498,13.0,108955,2,4,Certified Pre-Owned,Good,Ahmedabad,356000
179,Honda,Elevate,2015,Petrol,Automatic,Sedan,Green,1248,24.0,144107,1,5,Certified Pre-Owned,Good,Ahmedabad,508000
180,Mahindra,BE 6e,2015,CNG,Manual,Sedan,Brown,1498,14.7,78042,3,5,Dealer,Good,Hyderabad,597000
181,Hyundai,Alcazar,2016,CNG,Manual,Convertible,Yellow,2393,13.7,112241,1,5,Certified Pre-Owned,Good,Lucknow,357000
182,Maruti,Ignis,2020,Diesel,Automatic,Sedan,Grey,1197,27.3,70082,4,5,Certified Pre-Owned,Excellent,Lucknow,569000
183,Maruti,Wagon R,2017,Diesel,Manual,Sedan,Grey,2000,17.5,128308,1,7,Dealer,Fair,Kolkata,320000
184,Hyundai,i10,2023,Diesel,Automatic,SUV,Green,2000,22.0,24416,2,4,Individual,Excellent,Mumbai,1179000
185,Hyundai,Exter,2021,Petrol,Manual,Sedan,Green,1999,25.3,88540,1,5,Individual,Excellent,Chennai,1586000
186,Maruti,Swift,2016,Diesel,AMT,Hatchback,Silver,2755,21.7,112145,1,5,Dealer,Good,Mumbai,216000
187,Toyota,Fortuner,2020,Petrol,Manual,Convertible,Black,2179,11.7,61379,1,5,Dealer,Good,Chennai,1002000
188,Hyundai,Verna,2024,Petrol,Automatic,Hatchback,White,1000,14.1,110707,2,4,Certified Pre-Owned,Excellent,Delhi,661000
189,Hyundai,Creta,2020,Petrol,Manual,MUV,Black,1999,21.7,17933,1,5,Certified Pre-Owned,Poor,Bangalore,792000
190,Honda,Jazz,2021,Diesel,Manual,Sedan,Silver,1398,24.2,100671,1,2,Dealer,Excellent,Delhi,762000
191,Hyundai,Tucson,2023,Diesel,Automatic,SUV,White,2179,17.1,135724,2,7,Certified Pre-Owned,Fair,Hyderabad,1277000
192,Honda,Accord,2021,Petrol,Automatic,Coupe,Silver,1461,25.5,94659,3,5,Certified Pre-Owned,Fair,Mumbai,725000
193,Mahindra,BE 6e,2017,CNG,DCT,Hatchback,White,2393,17.2,56555,1,5,Certified Pre-Owned,Excellent,Chennai,532000
194,Renault,Megane,2021,Diesel,Manual,Coupe,Orange,2393,12.8,81240,1,7,Certified Pre-Owned,Excellent,Delhi,529000
195,Ford,Endeavour,2019,Diesel,Automatic,Sedan,White,1248,22.0,30405,1,5,Dealer,Excellent,Kolkata,1514000
196,Tata,Harrier,2015,Diesel,Automatic,Sedan,Green,2179,26.0,43768,1,7,Individual,Good,Chennai,616000
197,Maruti,Brezza,2021,Petrol,Manual,Convertible,Yellow,2694,20.2,133898,1,4,Certified Pre-Owned,Excellent,Ahmedabad,499000
198,Toyota,Fortuner,2024,Diesel,Manual,Convertible,Orange,1461,26.6,64107,1,8,Dealer,Excellent,Mumbai,1416000
199,Maruti,S-Cross,2021,Petrol,Manual,Convertible,Grey,1197,14.0,97729,1,5,Individual,Fair,Lucknow,521000
200,Maruti,Ertiga,2016,Electric,AMT,SUV,Grey,2179,21.2,96709,1,7,Dealer,Good,Mumbai,352000
201,Ford,Edge,2018,Diesel,Automatic,Sedan,Black,1398,10.0,61078,1,5,Dealer,Poor,Mumbai,971000
202,Toyota,Fortuner,2018,Diesel,Manual,MUV,White,2179,26.1,11508,3,2,Dealer,Good,Delhi,1160000
203,Hyundai,Ioniq 5,2016,Diesel,Automatic,MUV,Silver,2694,15.7,34264,1,7,Certified Pre-Owned,Good,Kolkata,947000
204,Mahindra,KUV100,2022,Petrol,Manual,Sedan,Black,1461,12.2,43089,1,8,Certified Pre-Owned,Excellent,Delhi,1107000
205,Honda,Accord,2019,Diesel,AMT,Hatchback,Black,1197,11.6,10572,1,8,Certified Pre-Owned,Excellent,Lucknow,690000
206,Mahindra,Marazzo,2023,Petrol,Manual,Sedan,White,1000,24.5,144210,1,4,Individual,Fair,Jaipur,620000
207,Maruti,Swift,2018,Petrol,AMT,SUV,Silver,2755,21.6,5714,4,7,Certified Pre-Owned,Good,Delhi,453000
208,Hyundai,Aura,2016,Petrol,Automatic,Sedan,Yellow,1197,16.4,130056,1,2,Individual,Fair,Kolkata,801000
209,Toyota,Camry,2022,Electric,Manual,Coupe,Yellow,800,11.6,108001,3,4,Dealer,Good,Ahmedabad,1519000
